TABLE_NAME                     COUNT(COLUMN_NAME)                               
------------------------------ ------------------                               
ABSTRACT_NOTIFICATION_MESSAGE                  10                               
ACTION_DEFINITION                              11                               
ACTION_LEVEL                                   11                               
ACTION_NODE                                    12                               
ADDITIONAL_ATTRIBUTES                          15                               
ADDITIONAL_LABOR_ELIGIBILITY                    9                               
ADDITIONAL_PAYMENT_INFO                         5                               
ADDITIONAL_PAYMENT_INFO_TEST                    5                               
ADDRESS                                        31                               
ADDRESS_BOOK                                   11                               
ADDRESS_BOOK_ADDRESS_MAPPING                   14                               
ADDRESS_FOR_TRANSFER                           21                               
ADDTL_MARKETING_INFO                           13                               
ADDTL_MKTING_INFO_OPTIONS                      11                               
ADD_ATTR_ATTR_ASSOC                             2                               
ADD_LBR_EGL_SERVICE_PROVIDERS                   9                               
ADD_MKTING_INFO_OPTNS_MAPPING                   2                               
ADD_PAYMENT_INFO                                2                               
ADD_PAYMENT_INFO_TEST                           2                               
ALARM_CODE                                     12                               
ANS_OPTION_I18N_TEXT                            2                               
APPLICABILITY                                   9                               
APPLICABILITY_TYPES_IN_PART                     2                               
APPLICABLE_CUSTOMER_TYPES                       3                               
APPLICABLE_POLICY                              13                               
APPLIED_PATCHES                                 2                               
ASSEMBLIES_INCLUDED                             3                               
ASSEMBLY                                       14                               
ASSEMBLY_DEFINITION                            12                               
ASSEMBLY_LEVEL                                 14                               
ASSIGNMENT_RULE_ACTION                          3                               
ATTRIBUTE                                      11                               
ATTRIBUTE_ASSOCIATION                          15                               
ATTR_VALUE                                     11                               
A_NEW                                           2                               
B                                               2                               
BASE_PART_RETURN                               16                               
BASE_PRICE_VALUE                               13                               
BATTERY_INFO                                   38                               
BATTERY_TEST_SHEET                             21                               
BATTERY_VOLTAGE_INFO                           13                               
BUSINESS_UNIT                                   3                               
BU_ORG_MAPPING                                  2                               
BU_USER_MAPPING                                 2                               
CAMPAIGN                                       25                               
CAMPAIGNS_IN_RELATED_CAMPAIGN                   2                               
CAMPAIGN_ATTACHMENTS                            2                               
CAMPAIGN_COVERAGE                               9                               
CAMPAIGN_COVERAGE_ITEMS                         2                               
CAMPAIGN_LABOR_DETAIL                          14                               
CAMPAIGN_LABOR_LIMITS                           2                               
CAMPAIGN_MISC_PARTS                             2                               
CAMPAIGN_NONOEM_PARTS                           2                               
CAMPAIGN_NOTIFICATION                          14                               
CAMPAIGN_OEM_PARTS                              2                               
CAMPAIGN_RANGES                                 2                               
CAMPAIGN_RANGE_COVERAGE                         1                               
CAMPAIGN_SECTION_PRICE                          6                               
CAMPAIGN_SERIAL_NUMBERS                        10                               
CAMPAIGN_SERIAL_RANGE                          12                               
CAMPAIGN_SERVICE_DETAIL                        10                               
CAMPAIGN_SNO_COVERAGE                           1                               
CAMPAIGN_SNO_COVERAGE_SNO                       2                               
CAMPAIGN_STATUS                                10                               
CAMPAIGN_TRAVEL_DETAIL                         21                               
CARRIER                                        14                               
CATEGORY                                       11                               
CELL_SPECIFIC_GRAVITY                           4                               
CLAIM                                          91                               
CLAIMED_ITEM                                   19                               
CLAIMED_ITEM_CLAIM_ATTRIBUTES                   2                               
CLAIM_ALARM_CODES                               2                               
CLAIM_ATTACHMENTS                               2                               
CLAIM_ATTACH_MAPPING                            2                               
CLAIM_ATTRIBUTES                               10                               
CLAIM_AUDIT                                    19                               
CLAIM_CLAIMED_ITEMS                             2                               
CLAIM_NUMBER_PATTERN                           14                               
CLAIM_RECOVERY_CLAIMS                           2                               
CLAIM_RULE_FAILURES                             2                               
CLAIM_USER_PROCESS_COMMENTS                     2                               
COMPENSATION_TERM                              12                               
COMPETITION_TYPE                               11                               
COMPETITOR_MAKE                                11                               
COMPETITOR_MODEL                               11                               
COMPLAINT                                      31                               
CONFIG_PARAM                                   18                               
CONFIG_PARAM_OPTION                             3                               
CONFIG_PARAM_OPTIONS_MAPPING                    3                               
CONFIG_VALUE                                   13                               
CONSUMER                                       12                               
CONTRACT                                       27                               
CONTRACT_APPLICABILITY_TERMS                    2                               
CONTRACT_COMPENSATION_TERMS                     2                               
CONTRACT_COVERAGE_CONDITIONS                    2                               
CONTRACT_ITEMS_COVERED                          2                               
COSTCAT_APPL_PRODUCTS                           2                               
COST_CATEGORY                                  12                               
COST_LINE_ITEM                                 18                               
COUNTRY                                        11                               
COUNTRY_STATE                                  12                               
COVERAGE_CONDITION                             11                               
CREDIT_MEMO                                    23                               
CRITERIA_BASED_VALUE                           14                               
CRITERIA_EVALUATION_PRECEDENCE                 11                               
CURRENCY_CONVERSION_FACTOR                     13                               
